,code,2020pointsR1,2020pointsR2,2020EOS
377,DC204,522.0,519,519
378,DC205,531.0,,531
379,DC206,499.0,,499
380,DC208,532.0,521,521
381,DC209,465.0,440,440
382,DC215,454.0,433,433
383,DC216,418.0,403,403
384,DC217,370.0,,370
385,DC218,500.0,498,498
386,DC230,435.0,,435
387,DC231,397.0,,397
388,DC232,466.0,,466
389,DC235,309.0,,309
390,DC238,377.0,,377
391,DC239,430.0,,430
392,DC240,476.0,474,474
393,DC291,376.0,,376
394,DC292,403.0,,403
395,DC293,377.0,,377
396,DC295,376.0,,376
397,DK710,120.0,120,120
398,DK711,191.0,,191
399,DK712,100.0,100,100
400,DK721,106.0,106,106
401,DK722,144.0,144,144
402,DK730,165.0,,165
403,DK731,332.0,,332
404,DK732,120.0,,120
405,DK740,179.0,179,179
406,DK742,166.0,166,166
407,DK744,190.0,157,157
408,DK750,176.0,176,176
409,DK752,175.0,175,175
410,DK753,182.0,182,182
411,DK763,233.0,,225
412,DK767,240.0,240,240
413,DK768,261.0,,261
414,DK769,165.0,165,165
415,DK770,190.0,190,190
416,DK771,,,
417,DK781,358.0,328,208
418,DK783,349.0,317,210
419,DK784,399.0,,399
420,DK810,305.0,305,305
421,DK816,300.0,300,300
422,DK820,311.0,311,311
423,DK821,302.0,302,302
424,DK822,307.0,,304
425,DK830,336.0,,336
426,DK831,389.0,,389
427,DK832,387.0,,387
428,DK843,340.0,340,340
429,DK844,305.0,305,305
430,DK845,304.0,304,304
431,DK846,391.0,361,361
432,DK850,317.0,317,317
433,DK860,532.0,532,503
434,DK861,302.0,302,302
435,DK862,301.0,,301
436,DK863,308.0,308,308
437,DK864,300.0,300,300
438,DK865,301.0,,301
439,DK870,403.0,401,397
440,DK872,336.0,,336
441,DK874,356.0,,356
442,DK876,321.0,,321
443,DK877,440.0,,440
444,DK880,328.0,,328
445,DK882,310.0,,310
446,DK883,358.0,321,300
447,DK884,,,
448,DK885,,,
449,DK886,301.0,,301
450,DK887,330.0,,330
451,DL701,,AQA,AQA
452,DL821,212.0,212,212
453,DL822,229.0,229,235
454,DL823,235.0,,237
455,DL825,379.0,,379
456,DL826,855.0,,855
457,DL827,572.0,,572
458,DL828,506.0,,538
459,DL829,593.0,,593
460,DL830,939.0,,939
461,DL831,781.0,,781
462,DL832,920.0,,920
463,DL833,650.0,,667
464,DL834,990.0,,990
465,DL836,219.0,,219
466,DL837,201.0,,201
467,DL838,754.0,,754
468,DL839,683.0,683,683
469,DL840,228.0,228,228
470,DL841,276.0,,276
471,DN100,510.0,,510
472,DN120,407.0,,407
473,DN130,407.0,400,390
474,DN150,531.0,521,520
475,DN200,533.0,,533
476,DN201,510.0,,510
477,DN230,601.0,,601
478,DN240,440.0,,440
479,DN250,456.0,455,453
480,DN252,410.0,,410
481,DN253,418.0,,413
482,DN261,477.0,,476
483,DN262,531.0,,531
484,DN271,311.0,,311
485,DN272,297.0,282,282
486,DN300,589.0,,589
487,DN301,,,#
488,DN310,478.0,477,466
489,DN400,737.0,736,736
490,DN401,,,58
491,DN410,534.0,532,531
492,DN411,,,#
493,DN420,578.0,577,568
494,DN425,510.0,509,507
495,DN430,455.0,445,433
496,DN440,590.0,589,589
497,DN450,429.0,424,421
498,DN451,509.0,506,499
499,DN452,489.0,476,473
500,DN453,397.0,393,393
501,DN520,310.0,,310
502,DN530,340.0,336,326
503,DN541,303.0,,300
504,DN600,546.0,544,543
505,DN610,545.0,,544
506,DN650,521.0,521,521
507,DN660,517.0,511,510
508,DN670,613.0,,613
509,DN700,421.0,419,418
510,DN710,498.0,498,498
511,DN720,530.0,522,522
512,DN750,378.0,,377
513,DS602,,,198
514,DS603,,,423
515,DS701,,,299
516,DS702,,,290
517,GA160,163.0,163,163
518,GA170,250.0,,250
519,GA171,250.0,,250
520,GA172,277.0,,277
521,GA174,281.0,,282
522,GA175,278.0,,278
523,GA176,278.0,,278
524,GA181,309.0,,309
525,GA182,287.0,,287
526,GA183,296.0,,296
527,GA184,307.0,,307
528,GA185,293.0,,293
529,GA186,280.0,,280
530,GA187,281.0,,281
531,GA272,188.0,188,188
532,GA273,702.0,,702
533,GA274,251.0,,251
534,GA281,304.0,,304
535,GA282,220.0,,220
536,GA283,679.0,,679
537,GA284,303.0,,303
538,GA285,,,
539,GA360,172.0,172,172
540,GA361,193.0,,193
541,GA362,240.0,228,228
542,GA364,252.0,252,252
543,GA370,198.0,,198
544,GA376,206.0,187,187
545,GA377,172.0,,172
546,GA378,219.0,,219
547,GA380,242.0,,242
548,GA381,278.0,,278
549,GA382,206.0,,206
550,GA384,212.0,,212
551,GA470,244.0,243,243
552,GA471,200.0,,200
553,GA472,226.0,,226
554,GA473,241.0,,241
555,GA480,260.0,,260
556,GA482,288.0,,288
557,GA483,265.0,,265
558,GA484,290.0,,290
559,GA570,224.0,,224
560,GA580,300.0,,300
561,GA670,265.0,,265
562,GA673,260.0,,260
563,GA674,298.0,,298
564,GA675,298.0,,298
565,GA676,290.0,,290
566,GA677,235.0,,235
567,GA680,330.0,,330
568,GA681,293.0,,293
569,GA682,313.0,,313
570,GA683,309.0,,309
571,GA684,340.0,,340
572,GA685,309.0,,309
573,GA770,280.0,,280
574,GA771,280.0,,280
575,GA772,280.0,,280
576,GA773,299.0,,299
577,GA774,289.0,,289
578,GA775,260.0,,260
579,GA776,241.0,,241
580,GA777,281.0,,281
581,GA780,327.0,,327
582,GA781,337.0,,337
583,GA782,336.0,,336
584,GA783,363.0,,363
585,GA784,372.0,,372
586,GA785,473.0,,473
587,GA786,317.0,,317
588,GA787,270.0,,270
589,GA788,274.0,,282
590,GA789,287.0,,289
591,GA790,356.0,,356
592,GA791,368.0,,368
593,GA862,178.0,,178
594,GA864,214.0,204,204
595,GA870,182.0,171,171
596,GA871,190.0,,190
597,GA872,196.0,,196
598,GA879,244.0,,244
599,GA880,429.0,422,422
600,GA882,367.0,,367
601,GA885,252.0,,252
602,GA887,244.0,,244
603,GA889,266.0,,266
604,GA890,270.0,,270
605,GA891,244.0,,244
606,GA974,214.0,,214
607,GA980,377.0,,377
608,GA984,284.0,,284
609,GB001,,,115
610,GC200,252.0,252,252
611,GC201,303.0,303,303
612,GC230,335.0,325,325
613,GC250,,,
614,GC300,429.0,,390
615,GC301,253.0,253,253
616,GC302,,,
617,GC305,253.0,253,253
618,GC306,253.0,253,253
619,GC335,217.0,195,195
620,GC400,248.0,248,248
621,GC401,240.0,227,202
622,GC402,264.0,236,218
623,GC403,244.0,228,228
624,GC407,280.0,280,218
625,GC410,145.0,,145
626,GC411,135.0,135,135
627,GC430,252.0,220,220
628,GC435,,AQA,96
629,GC450,254.0,254,254
630,GC460,,,
631,GC462,,,
632,GC465,,,AQA
633,GC466,,AQA,AQA
634,GC470,169.0,169,169
635,GC475,150.0,150,150
636,GC489,254.0,,254
637,GC490,117.0,117,117
638,GC494,337.0,217,217
639,GC495,129.0,129,129
640,GY101,300.0,,300
641,GY104,523.0,520,519
642,GY105,301.0,,301
643,GY107,409.0,,409
644,GY109,403.0,,403
645,GY110,357.0,,357
646,GY111,330.0,,330
647,GY112,321.0,,321
648,GY113,368.0,,368
649,GY115,387.0,,387
650,GY118,451.0,,451
651,GY119,400.0,,400
652,GY120,350.0,,350
653,GY121,356.0,,356
654,GY122,361.0,,361
655,GY123,358.0,,358
656,GY124,454.0,,454
657,GY125,328.0,,328
658,GY126,391.0,,391
659,GY127,401.0,,401
660,GY128,352.0,,352
661,GY129,420.0,,420
662,GY130,408.0,,408
663,GY131,360.0,,360
664,GY132,407.0,,407
665,GY133,422.0,,422
666,GY134,410.0,,410
667,GY201,433.0,,433
668,GY202,484.0,,484
669,GY203,489.0,,489
670,GY204,495.0,,495
671,GY206,465.0,,465
672,GY207,509.0,,509
673,GY208,473.0,,473
674,GY209,530.0,,530
675,GY250,487.0,,487
676,GY251,499.0,,499
677,GY252,520.0,,520
678,GY253,509.0,,509
679,GY254,530.0,,530
680,GY261,497.0,,497
681,GY262,681.0,,681
682,GY301,433.0,432,432
683,GY303,556.0,,556
684,GY304,465.0,,465
685,GY308,408.0,,408
686,GY309,487.0,,487
687,GY310,419.0,,419
688,GY313,412.0,,412
689,GY314,403.0,,403
690,GY318,509.0,,509
691,GY319,476.0,,476
692,GY320,402.0,,402
693,GY321,508.0,,508
694,GY350,403.0,,403
695,GY401,465.0,,465
696,GY402,455.0,,455
697,GY405,454.0,,454
698,GY406,510.0,,510
699,GY408,509.0,,509
700,GY410,403.0,,403
701,GY413,502.0,,502
702,GY414,405.0,,405
703,GY501,728.0,,728
704,GY502,555.0,,555
705,GY503,543.0,,543
706,GY504,443.0,,443
707,GY515,476.0,473,473
708,GY516,440.0,,440
709,GY517,495.0,,495
710,ID001,203.0,,203
711,ID002,294.0,,294
712,LC110,740.0,,740
713,LC114,880.0,,880
714,LC115,942.0,,942
715,LC220,262.0,,262
716,LC221,241.0,,251
717,LC222,270.0,,270
718,LC223,307.0,,307
719,LC224,300.0,,300
720,LC225,298.0,,298
721,LC226,234.0,234,234
722,LC228,205.0,,205
723,LC230,217.0,,217
724,LC233,272.0,,272
725,LC234,225.0,,225
726,LC235,205.0,,205
727,LC236,262.0,260,260
728,LC239,307.0,,309
729,LC241,255.0,,255
730,LC242,282.0,,282
731,LC243,294.0,,298
732,LC248,288.0,,288
733,LC251,206.0,,206
734,LC252,270.0,,270
735,LC257,264.0,,264
736,LC260,326.0,,326
737,LC263,294.0,,294
738,LC265,413.0,,413
739,LC266,262.0,,262
740,LC267,329.0,,329
741,LC268,289.0,,289
742,LC270,307.0,,307
743,LC271,261.0,,261
744,LC275,298.0,,298
745,LC276,297.0,,297
746,LC277,232.0,,232
747,LC278,280.0,,280
748,LC279,214.0,,226
749,LC281,208.0,,208
750,LC283,227.0,,233
751,LC284,200.0,,200
752,LC285,272.0,,272
753,LC286,264.0,,264
754,LC288,347.0,346,346
755,LC289,291.0,,291
756,LC290,188.0,,188
757,LC292,367.0,,367
758,LC293,307.0,,307
759,LC294,279.0,,279
760,LC295,252.0,,252
761,LC297,235.0,,235
762,LC320,346.0,,346
763,LC330,297.0,,297
764,LC336,207.0,,222
765,LC340,350.0,,350
766,LC362,413.0,,413
767,LC371,309.0,,309
768,LC372,325.0,,325
769,LC374,318.0,,318
770,LC375,317.0,,317
771,LC376,318.0,,318
772,LC380,303.0,298,298
773,LC392,236.0,,236
774,LC393,236.0,,236
775,LC398,163.0,,163
776,LC399,148.0,,148
777,LC401,297.0,,297
778,LC402,225.0,,225
779,LC408,279.0,,279
780,LC414,236.0,,236
781,LC415,197.0,,197
782,LC416,274.0,,274
783,LC418,270.0,,270
784,LC422,298.0,,298
785,LC423,157.0,,157
786,LC425,278.0,,278
787,LC428,278.0,,278
788,LC432,144.0,,144
789,LC434,297.0,,297
790,LC502,852.0,,852
791,LC504,192.0,,192
792,LC517,234.0,,234
793,LC518,808.0,,808
794,LC602,260.0,,260
795,LC603,147.0,,174
796,LC605,195.0,,195
797,LC612,320.0,,320
798,LC613,242.0,,242
799,LM002,348.0,,348
800,LM020,465.0,,465
801,LM026,303.0,,303
802,LM028,418.0,,418
803,LM029,490.0,,490
804,LM038,500.0,,500
805,LM039,402.0,,402
806,LM040,369.0,,369
807,LM044,442.0,,442
808,LM050,431.0,,431
809,LM056,528.0,,528
810,LM058,403.0,,403
811,LM063,379.0,,379
812,LM068,421.0,,421
813,LM076,408.0,,408
814,LM077,520.0,,520
815,LM082,398.0,,398
816,LM089,474.0,,474
817,LM090,532.0,,532
818,LM091,517.0,,517
819,LM092,507.0,,507
820,LM093,339.0,,339
821,LM094,440.0,,440
822,LM095,367.0,,367
823,LM096,405.0,,405
824,LM097,402.0,,402
825,LM099,498.0,,498
826,LM100,589.0,,589
827,LM101,55.0,,55
828,LM102,509.0,,509
829,LM103,392.0,,392
830,LM115,454.0,,454
831,LM116,476.0,,476
832,LM118,403.0,,403
833,LM121,351.0,,351
834,LM122,327.0,,327
835,LM123,441.0,,441
836,LM124,437.0,,437
837,LM125,404.0,,404
838,LM150,475.0,,475
839,LM152,419.0,,419
840,LM154,420.0,,440
841,LM156,469.0,,469
842,LM180,337.0,,328
843,LY107,161.0,161,161
844,LY108,309.0,,309
845,LY118,290.0,,290
846,LY206,149.0,148,148
847,LY207,160.0,160,160
848,LY208,300.0,,300
849,LY228,300.0,,300
850,LY317,229.0,224,224
851,LY327,170.0,170,170
852,LY408,320.0,,320
853,LY427,172.0,170,172
854,LY437,198.0,223,198
855,LY447,266.0,279,266
856,LY457,179.0,204,189
857,LY507,181.0,181,181
858,LY508,276.0,,276
859,LY518,301.0,,301
860,LY527,165.0,163,163
861,LY528,271.0,,271
862,LY607,160.0,,160
863,LY608,300.0,,300
864,LY617,180.0,180,180
865,LY618,312.0,,312
866,LY707,204.0,,204
867,LY708,306.0,,306
868,LY717,164.0,160,160
869,LY737,169.0,169,169
870,LY748,317.0,317,317
871,LY806,232.0,,232
872,LY816,233.0,223,223
873,LY817,248.0,,248
874,LY818,303.0,,303
875,LY826,456.0,401,339
876,LY828,307.0,,307
877,LY836,473.0,408,278
878,LY837,194.0,194,194
879,LY846,316.0,316,291
880,LY847,367.0,367,367
881,LY867,163.0,163,163
882,LY877,202.0,181,181
883,LY906,205.0,161,161
884,LY908,400.0,,400
885,LY916,181.0,,181
886,LY918,357.0,,357
887,LY928,326.0,,328
888,LY968,303.0,,303
889,LY978,280.0,,280
890,MH001,507.0,,507
891,MH002,,,
