,code,2020pointsR1,2020pointsR2,2020EOS
1124,TR085,540.0,531,521
1125,TR086,509.0,499,499
1126,TR087,474.0,465,456
1127,TR089,444.0,424,424
1128,TR090,531.0,,531
1129,TR091,429.0,,429
1130,TR093,430.0,429,414
1131,TR095,408.0,,408
1132,TR097,396.0,,378
1133,TR111,352.0,,352
1134,TR112,529.0,,529
1135,TR113,337.0,,337
1136,TR114,337.0,,337
1137,TR117,342.0,,342
1138,TR166,498.0,496,496
1139,TR173,335.0,,335
1140,TR177,335.0,,335
1141,TR179,499.0,,479
1142,TR198,534.0,,534
1143,TR202,534.0,,534
1144,TR207,566.0,,566
1145,TR208,534.0,,534
1146,TR209,534.0,,534
1147,TR212,534.0,,534
1148,TR228,498.0,,498
1149,TR231,349.0,,349
1150,TR233,349.0,,349
1151,TR239,349.0,,349
1152,TR262,529.0,,529
1153,TR263,498.0,497,497
1154,TR269,499.0,,495
1155,TR272,498.0,,498
1156,TR276,498.0,,#476
1157,TR277,498.0,495,489
1158,TR311,521.0,,#521
1159,TR312,521.0,,521
1160,TR320,521.0,,521
1161,TR322,529.0,,529
1162,TR323,473.0,,#473
1163,TR324,521.0,,521
1164,TR325,529.0,,529
1165,TR326,352.0,,352
1166,TR332,498.0,496,496
1167,TR443,529.0,,529
1168,TR447,529.0,,529
1169,TR449,529.0,,529
1170,TR452,529.0,,529
1171,TR454,529.0,,529
1172,TR455,334.0,,334
1173,TR479,499.0,,485
1174,TR547,337.0,,337
1175,TR548,335.0,,335
1176,TR554,529.0,,529
1177,TR563,335.0,,335
1178,TR564,,,
1179,TR565,342.0,,342
1180,TR597,566.0,,566
1181,TR598,566.0,,566
1182,TR599,566.0,,566
1183,TR629,499.0,,499
1184,TR635,473.0,,#473
1185,TR636,388.0,,388
1186,TR638,388.0,,388
1187,TR639,499.0,,499
1188,TR662,499.0,,499
1189,TR663,342.0,,342
1190,TR664,498.0,,498
1191,TR665,342.0,,342
1192,TR666,,,
1193,TR667,403.0,,403
1194,TR668,389.0,,389
1195,TR669,368.0,,368
1196,TR670,381.0,,381
1197,TR671,332.0,,332
1198,TR672,336.0,,336
1199,TR755,498.0,,#498
1200,TR756,498.0,495,495
1201,TR801,436.0,419,367
1202,TR802,543.0,#511,#498
1203,TR803,531.0,#486,#359
1204,TR911,511.0,510,499
1205,TR913,478.0,477,473
1206,TU601,232.0,,230
1207,TU602,223.0,,223
1208,TU603,197.0,197,197
1209,TU641,223.0,,223
1210,TU642,153.0,,153
1211,TU643,236.0,,236
1212,TU644,223.0,,223
1213,TU645,241.0,,243
1214,TU651,205.0,196,196
1215,TU652,194.0,,194
1216,TU653,245.0,,245
1217,TU654,321.0,,321
1218,TU655,410.0,335,335
1219,TU671,226.0,,228
1220,TU672,180.0,179,179
1221,TU673,300.0,,300
1222,TU674,300.0,,306
1223,TU675,301.0,,301
1224,TU676,290.0,,290
1225,TU701,260.0,,261
1226,TU702,232.0,232,232
1227,TU703,260.0,,260
1228,TU704,262.0,,262
1229,TU705,243.0,,243
1230,TU706,244.0,,244
1231,TU707,224.0,224,224
1232,TU708,225.0,,225
1233,TU709,370.0,,370
1234,TU710,244.0,,244
1235,TU711,223.0,,223
1236,TU712,180.0,180,180
1237,TU713,221.0,,221
1238,TU714,264.0,,264
1239,TU715,181.0,181,181
1240,TU716,241.0,,241
1241,TU717,300.0,,300
1242,TU718,198.0,198,198
1243,TU719,228.0,,228
1244,TU720,232.0,,232
1245,TU721,350.0,,352
1246,TU722,292.0,292,401
1247,TU731,290.0,,290
1248,TU732,253.0,198,198
1249,TU735,270.0,,270
1250,TU736,410.0,391,391
1251,TU741,234.0,,238
1252,TU742,155.0,155,155
1253,TU745,245.0,,245
1254,TU746,170.0,170,170
1255,TU747,242.0,,242
1256,TU751,407.0,,407
1257,TU752,390.0,,390
1258,TU754,270.0,,270
1259,TU755,361.0,,361
1260,TU756,200.0,195,195
1261,TU757,225.0,,225
1262,TU758,220.0,,220
1263,TU759,211.0,,211
1264,TU760,204.0,204,204
1265,TU761,302.0,,319
1266,TU762,364.0,,364
1267,TU763,382.0,349,349
1268,TU771,224.0,,224
1269,TU772,,227,AQA
1270,TU774,195.0,209,195
1271,TU775,260.0,,260
1272,TU776,182.0,175,175
1273,TU777,244.0,,244
1274,TU778,224.0,,226
1275,TU779,180.0,180,180
1276,TU780,179.0,179,179
1277,TU781,220.0,,220
1278,TU782,179.0,179,179
1279,TU783,189.0,189,189
1280,TU791,320.0,,320
1281,TU792,101.0,250,101
1282,TU793,220.0,,220
1283,TU794,390.0,250,230
1284,TU795,481.0,,481
1285,TU796,225.0,,225
1286,TU801,235.0,,235
1287,TU802,317.0,300,300
1288,TU803,243.0,243,243
1289,TU804,271.0,,271
1290,TU805,402.0,,402
1291,TU806,262.0,,262
1292,TU807,276.0,,276
1293,TU808,260.0,260,260
1294,TU809,235.0,,235
1295,TU810,270.0,,271
1296,TU811,411.0,,411
1297,TU812,270.0,,270
1298,TU813,218.0,218,218
1299,TU814,285.0,251,251
1300,TU831,410.0,,410
1301,TU832,622.0,,622
1302,TU833,367.0,,367
1303,TU834,288.0,,288
1304,TU835,313.0,,313
